test_case_id,question,latency_ms,correctness,completeness,relevance,coherence,overall_score,hit,recall,precision,mrr
it-001,如果訂單 cust po no 有錯誤，可以自己修改嗎？用哪支程式可以修改？,6038.8,5.0,5.0,5.0,5.0,5.0,True,1.0,1.0,1.0
it-002,Qty Avail、Qty Allocate、Qty Onhand 這些欄位分別代表什麼意思？,3058.1,5.0,5.0,5.0,5.0,5.0,True,1.0,1.0,1.0
it-003,SO 無法存檔，出現 Schedule Forwarder To address is not defined 錯誤訊息，該怎麼處理？,3960.3,3.0,3.0,4.0,4.0,3.0,False,0.0,0.0,0.0
it-004,我有兩張 shipment no，可是卻無法合併成一張 packing，為什麼？,4356.3,1.0,1.0,2.0,3.0,1.0,True,0.5,1.0,1.0
it-005,DT092 unclose 選好 facility 卻找不到想看的單據，可能是什麼原因？,4354.2,1.0,1.0,2.0,3.0,1.0,False,0.0,0.0,0.0
it-006,DT092 不小心把 carton data 刪掉，要怎麼還原？,4353.6,3.0,3.0,4.0,4.0,3.0,True,0.5,1.0,1.0
v5-001,V5 地球上的 toolbar 圖示可以改小嗎？,2964.7,5.0,5.0,5.0,5.0,5.0,True,1.0,1.0,1.0
v5-002,V5 地球登入的 format 可以調整嗎？,3962.1,4.0,4.0,5.0,5.0,4.0,False,0.0,0.0,0.0
v5-003,Fill Down Current Column 要怎麼用？,4351.9,4.0,4.0,5.0,5.0,4.0,True,1.0,1.0,1.0
v5-004,Import file 的用途是什麼？Append Data 和 Update Destination 有什麼差別？,4363.1,4.0,4.0,5.0,5.0,4.0,True,1.0,1.0,1.0
v5-005,Search 和 Filter 有什麼差異？,3768.7,5.0,5.0,5.0,5.0,5.0,True,1.0,1.0,1.0
v5-006,Search 的快速鍵是什麼？除了快速鍵還有什麼方式？,3948.9,3.0,3.0,4.0,4.0,3.0,True,0.5,1.0,1.0
v5-007,如何取消 search？,4193.1,2.0,2.0,3.0,4.0,2.0,False,0.0,0.0,0.0
v5-008,Simple filter 在哪邊？,4343.1,4.0,4.0,5.0,5.0,4.0,True,1.0,1.0,1.0
prog-001,開立 PR 是在哪支程式？,3423.3,1.0,1.0,3.0,4.0,2.0,True,0.5,1.0,1.0
prog-002,開立 Purchase Order 是在哪支程式？,3969.9,1.0,1.0,2.0,3.0,1.0,False,0.0,0.0,0.0
prog-003,查詢 PR Report 是在哪支程式？,3669.3,1.0,1.0,2.0,4.0,1.0,False,0.0,0.0,0.0
prog-004,查詢 PO status、PO up 相關資訊是在哪支程式？,4364.8,1.0,1.0,2.0,3.0,1.0,True,0.5,1.0,1.0
prog-005,開立請領/入庫單要去哪支程式？,3977.0,1.0,1.0,3.0,4.0,2.0,False,0.0,0.0,0.0
prog-006,請領/入庫單扣帳是在哪支程式執行？,4346.4,1.0,1.0,2.0,3.0,2.0,False,0.0,0.0,0.0
prog-007,有程式可以 MRP 轉 PR 直接產生 PR 嗎？是哪支？,2582.8,1.0,1.0,3.0,4.0,2.0,False,0.0,0.0,0.0
prog-008,查詢供應商 EOL、COST/LT/MOQ/share rate maintain/last buy up/last receive up/buyer/sourcer 相關資料是在哪支程式？,2990.2,1.0,1.0,2.0,3.0,1.0,True,0.5,1.0,1.0
prog-009,Price Book (PO) maintain 是在哪支程式？,3455.0,1.0,1.0,3.0,4.0,2.0,True,0.5,1.0,1.0
prog-010,SO Price book maintain 是在哪支程式？,3141.2,1.0,1.0,3.0,4.0,2.0,False,0.0,0.0,0.0
prog-011,哪支程式可以查詢 part no 在各個庫的庫存？,4354.6,1.0,1.0,2.0,3.0,2.0,False,0.0,0.0,0.0
prog-012,哪支程式可以查詢料號在所有倉的交易記錄或單據異動？,3972.5,1.0,1.0,2.0,3.0,2.0,False,0.0,0.0,0.0
